,country_ID,Year,Value
1127,178,1998,9.7
1128,179,1998,17.2
1129,180,1998,21.1
1130,181,1998,10.3
1131,182,1998,37.8
1132,183,1998,2.2
1133,184,1998,18.6
1134,185,1998,20.9
1135,186,1998,17.6
1136,187,1998,3.4
1137,188,1998,24.1
1138,189,1998,19.7
1139,190,1998,9.2
1140,191,1998,14.6
1141,192,1998,18.6
1142,193,1998,0.6
1143,194,1998,8.0
1144,195,1998,4.0
1145,196,1998,9.9
1146,1,1999,2.2
1147,2,1999,12.8
1148,3,1999,16.8
1149,4,1999,22.0
1150,5,1999,3.4
1151,6,1999,12.3
1152,7,1999,20.3
1153,8,1999,13.9
1154,9,1999,19.7
1155,10,1999,13.6
1156,11,1999,12.2
1157,12,1999,23.4
1158,13,1999,22.5
1159,14,1999,1.2
1160,15,1999,14.7
1161,16,1999,18.5
1162,17,1999,16.7
1163,18,1999,15.9
1164,19,1999,4.8
1165,20,1999,2.3
1166,21,1999,12.8
1167,22,1999,12.3
1168,23,1999,12.7
1169,24,1999,14.1
1170,25,1999,6.8
1171,26,1999,18.2
1172,27,1999,2.0
1173,28,1999,2.3
1174,46,1999,4.7
1175,29,1999,6.0
1176,30,1999,1.4
1177,31,1999,5.6
1178,32,1999,19.9
1179,33,1999,3.8
1180,34,1999,2.8
1181,35,1999,20.2
1182,36,1999,2.2
1183,37,1999,15.0
1184,38,1999,4.0
1185,39,1999,5.0
1186,40,1999,44.1
1187,41,1999,14.3
1188,42,1999,17.2
1189,43,1999,16.9
1190,44,1999,16.1
1191,45,1999,20.7
1192,47,1999,3.9
1193,48,1999,2.9
1194,49,1999,13.7
1195,50,1999,9.1
1196,51,1999,18.9
1197,52,1999,15.5
1198,53,1999,12.8
1199,54,1999,21.7
1200,55,1999,15.0
1201,56,1999,4.1
1202,57,1999,2.1
1203,58,1999,17.2
1204,167,1999,10.4
1205,59,1999,1.8
1206,61,1999,20.4
1207,62,1999,16.0
1208,63,1999,15.5
1209,64,1999,8.9
1210,65,1999,4.5
1211,66,1999,13.4
1212,67,1999,15.9
1213,68,1999,5.2
1214,69,1999,18.2
1215,70,1999,13.0
1216,71,1999,12.5
1217,72,1999,3.5
1218,73,1999,4.1
1219,74,1999,11.5
1220,75,1999,10.5
1221,76,1999,12.1
1222,77,1999,19.3
1223,78,1999,15.7
1224,79,1999,1.5
1225,80,1999,2.4
1226,81,1999,16.1
1227,82,1999,21.8
1228,83,1999,15.4
1229,84,1999,20.8
1230,85,1999,14.7
1231,86,1999,15.4
1232,87,1999,2.0
1233,88,1999,25.8
1234,89,1999,13.6
1235,90,1999,3.1
1236,91,1999,33.9
1237,92,1999,29.1
1238,93,1999,9.4
1239,94,1999,1.6
1240,95,1999,19.1
1241,96,1999,24.2
1242,97,1999,9.6
1243,98,1999,5.5
